Povince,Lat,Long,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02
Seoul,37.5666444,126.977934,21,26,29,30,34,41,49,56,62,82,87,98
Pusan,35.180951,129.074859,10,10,13,21,36,42,58,61,65,81,83,90
Daegu,35.881594,128.60105,30,110,193,310,483,543,710,1132,1579,2569,2704,3601
Incheon,37.463049,126.702559,1,1,1,1,2,2,3,3,4,6,6,7
Gwangju,37.429629,127.255174,2,4,7,9,9,9,9,9,9,9,9,11
Daejeon,36.350699,127.384808,0,0,2,3,3,3,5,9,14,13,13,14
Ulsan,35.574951,129.310334,0,0,1,1,2,3,4,11,14,17,20,20
Sejong,36.480314,127.288982,0,0,1,1,1,1,1,1,1,1,1,1
Gyeongi,37.27529,127.009423,11,13,19,23,34,42,51,62,72,84,89,94
Gangwon,37.928273,127.736866,1,1,6,6,6,6,6,6,7,7,15,20
Chungbuk,36.63605,127.491345,0,1,3,3,3,5,5,8,9,11,11,11
Chungnam,36.701919,126.660876,0,1,1,1,1,2,3,12,35,60,68,81
Jeonbuk,35.820638,127.108706,1,2,3,3,3,3,3,5,5,5,6,7
Jeonnam,34.816421,126.462924,1,1,2,2,2,1,1,1,1,3,3,5
Gyeongbuk,36.811656,128.489868,24,27,144,169,192,249,317,345,409,514,556,685
Gyeongnam,35.238514,128.69236,2,7,7,17,20,23,34,43,49,62,63,64
Jeju,33.533428,126.487879,0,0,1,2,2,2,2,2,2,2,2,3
